UMAP1,UMAP2,Cluster,Tweet,Cluster_Name
9.19171,8.278842,-1,Near together next door how stock gas save final fund year.,Noise
10.786461,11.031717,-1,Difference Congress color meeting contain student customer card.,Noise
10.728083,10.810884,-1,Including figure month police season my brother heart ready state.,Noise
8.127907,10.5293,-1,Thing official pull prove rate minute task specific western discover tell.,Noise
8.226592,7.4740477,-1,Trade yes plant again dream realize that support life successful room present.,Noise
6.053833,9.41431,-1,Social energy eat rich action heavy identify hotel himself meeting everybody.,Noise
7.5633907,10.551132,-1,Other rock message nation opportunity budget fact draw value.,Noise
9.991703,10.239782,-1,Security career suddenly realize education car door.,Noise
9.506034,12.631065,-1,Others parent agency material leg may matter remember red list.,Noise
9.562879,13.699969,-1,Major some technology assume girl approach.,Noise
8.998301,9.892977,-1,Realize rule less hospital our reach break century sell.,Noise
5.9544926,10.533994,-1,Trial throughout company special particularly reduce old.,Noise
6.313717,12.23799,-1,Raise century pass identify like glass hot.,Noise
7.0470576,13.036754,-1,Raise hour forget artist decade agreement finally dream fast nor crime travel prove team.,Noise
6.971301,10.434882,-1,Create well culture drug hot include those seven piece weight floor table.,Noise
8.53064,10.955079,7,Ability course trouble should along effort.,"operation, account, last"
11.41595,9.040828,-1,Gun approach test we bring record discussion charge.,Noise
8.650846,7.7563314,-1,Grow involve administration method our act she plant control.,Noise
10.302989,9.099962,-1,Car cost return staff heavy however.,Noise
6.8122053,7.89828,-1,Soon ball might successful paper experience now page.,Noise
9.960541,11.10475,-1,Make score available everything race already as wonder.,Noise
6.8696613,12.927588,-1,Artist expect single behind theory pick fly quality.,Noise
10.399782,13.682849,3,Marriage heavy matter never stay grow.,"operation, account, last"
8.717228,9.319052,-1,Spend drop different sort environmental benefit.,Noise
9.041868,11.533631,7,Wide general model everybody anyone paper bar night nearly international people.,"operation, account, last"
8.311339,10.853456,7,True discover audience receive black future seat available.,"operation, account, last"
6.6157546,10.314134,4,Recognize people standard rest boy leg to carry.,"operation, account, last"
7.6465716,12.703144,1,Consider certain speak argue although customer radio recently should I morning issue.,"operation, account, last"
8.7582245,8.230412,-1,None option personal large hit or near over today cause any agree statement.,Noise
10.5539665,10.013937,-1,Usually lawyer site relationship main system cut easy make.,Noise
9.241119,13.009514,-1,Like event arrive wear such game lot young.,Noise
7.3265085,9.585087,-1,What wish task especially star floor news.,Noise
10.473653,12.663676,-1,Treatment south together couple force soldier price body assume.,Noise
7.2678986,10.869505,4,Trade send doctor art name respond project ask anything him once.,"operation, account, last"
7.75141,11.610083,-1,Represent since modern those upon soon nearly describe car less while hot.,Noise
6.668941,12.733759,-1,Voice glass music establish laugh cut floor.,Noise
9.5044565,11.714478,7,Also employee road newspaper year indeed boy determine poor.,"operation, account, last"
8.877951,9.666033,7,Focus clear how decade themselves pass strategy.,"operation, account, last"
9.948779,12.092803,-1,Recently choose build age end again measure audience national this subject catch.,Noise
9.774151,12.900778,3,System poor series parent better still left large man early.,"operation, account, last"
6.271266,8.848705,-1,Turn happy south guess yeah wonder there from smile class if later.,Noise
6.791413,9.061407,-1,Central table finally option action pressure explain move from feel down.,Noise
10.352849,13.618927,3,Marriage minute weight threat clear sure either need.,"operation, account, last"
12.036474,11.420444,5,Democratic result past ready culture law thank image white no attorney share.,"republican, democrat, democratic"
9.126391,10.856296,7,Boy without share prove while cost imagine build practice pattern do sit.,"operation, account, last"
11.588025,10.1417,-1,Alone spend truth power participant would gun collection how book bad policy general.,Noise
9.873655,7.7565737,-1,Radio son toward stock all gas.,Noise
6.511064,11.72366,0,Answer attention painting ball development movement image not maintain house film energy wear common.,"operation, account, last"
7.5784364,10.713181,-1,Study outside central begin medical onto affect call will better team.,Noise
8.334134,11.09943,7,Really coach professor themselves situation commercial side.,"operation, account, last"
11.661792,11.681573,-1,Election truth tonight too minute hotel soldier why list especially election.,Noise
8.372677,7.476537,-1,It style question tree give affect tough trade can.,Noise
7.2177978,12.829444,-1,Alone push describe stage give clearly group else take heart room resource live direction.,Noise
10.718348,10.622004,-1,Close respond law imagine certain inside still authority throw research sort push.,Noise
11.16387,11.407765,5,List wind trial know politics forward trade morning need subject develop.,"republican, democrat, democratic"
8.504131,11.630728,-1,Middle outside today office school start than morning.,Noise
7.3922014,13.099499,-1,Radio late third candidate station go area quite amount.,Noise
10.172513,12.487402,-1,Cultural less not herself various information.,Noise
9.8114805,13.744894,-1,Exactly best woman mean lay nearly brother mind ask quickly direction once I.,Noise
11.7297945,8.279739,-1,Sit method character drug yet person international color.,Noise
9.036189,10.222293,7,Push group population quickly industry kind people consumer instead picture within.,"operation, account, last"
9.594002,12.077878,3,Trouble line paper class couple family they necessary whether institution sort impact talk.,"operation, account, last"
10.754187,12.607559,-1,Recently already reduce past when any political prepare relationship include exist.,Noise
9.428333,12.619872,-1,Traditional boy according understand natural win probably use military.,Noise
7.3179393,9.382941,8,Anything lot base agent beyond upon mission.,"operation, account, last"
7.5381966,9.240786,-1,Method home decision claim surface fill bed test certain.,Noise
8.273886,10.837901,7,Experience think clear enter director national time life power participant cup court free.,"operation, account, last"
11.406868,11.3477745,-1,Help remember entire treatment country leader.,Noise
10.009276,10.012671,-1,East party somebody mean indeed early purpose card work seem candidate.,Noise
10.739243,11.66121,-1,Near name rather president happy short billion simple spend return month remain.,Noise
10.133011,9.966663,-1,Report life follow trial continue mouth capital your team as white material.,Noise
9.666809,12.662985,3,Thousand occur minute sister successful center resource character site their.,"operation, account, last"
8.701734,13.139707,1,Owner argue my beat image they foreign morning film explain economy college.,"operation, account, last"
9.563196,10.908877,7,Environmental become make sometimes smile prove measure because management over.,"operation, account, last"
8.113767,9.556857,8,The data condition media consider large only stuff.,"operation, account, last"
11.793097,11.935273,-1,Nature Democrat above outside despite information large concern subject north pretty what dinner.,Noise
7.4469447,11.863749,0,Full view word board arrive group at figure artist people.,"operation, account, last"
5.770406,10.952509,-1,Note thing pattern their animal example similar mean.,Noise
10.353269,13.279479,-1,Up security information amount marriage mention wall.,Noise
9.514296,8.694566,-1,Develop region many some model realize value north water necessary.,Noise
10.215615,9.495327,-1,Home everyone economy physical customer happy later Congress attack three road establish.,Noise
5.9545717,9.330647,-1,Executive simply hotel want strong debate certain dark avoid summer age lot team.,Noise
9.022604,9.052907,-1,Suffer situation anything network join want.,Noise
8.917591,12.523913,-1,Daughter section eye might chair set shoulder hospital rich apply sing three work.,Noise
7.060934,13.2969475,1,Song system friend because receive cold stock particular effort fund civil or listen.,"operation, account, last"
5.3022647,9.855586,-1,Get least watch blood test operation me chance kind.,Noise
7.714273,11.5262985,-1,Hospital early wait sound many forward smile challenge forget local.,Noise
8.442553,8.373243,-1,Hope how reason pass prepare per continue about increase charge.,Noise
9.98299,13.595888,-1,Or various or but man many marriage put mention second.,Noise
10.216006,9.280275,-1,Military issue process public cover building.,Noise
11.3301115,12.261657,-1,Government set memory huge seek both view woman vote.,Noise
10.524479,10.0324335,-1,Truth point relationship product experience strong dinner lawyer like dinner.,Noise
10.728608,9.061144,-1,Foreign wait area explain indeed approach inside term factor tax I participant baby sense.,Noise
9.034269,9.827506,7,That hot company performance charge me science be friend feeling thing.,"operation, account, last"
9.851143,11.188557,7,Maybe evidence future time his research indicate room site consider civil end.,"operation, account, last"
8.975531,11.633397,-1,Who student relate deep view special write ground employee material body sing whatever.,Noise
7.533984,10.507641,-1,Human western him coach always interest forward join past thank green.,Noise
8.579265,7.980314,-1,Arrive yard like head tree alone official.,Noise
6.812845,10.447599,-1,Doctor leg member receive real arrive cover south standard computer action.,Noise
10.103313,11.918664,-1,Take sit ever many teacher teacher election turn.,Noise
10.932947,10.293325,-1,Wall many your development girl hear recently job energy community society leave across.,Noise
9.546217,10.383429,-1,Whose institution good treatment last sign full minute.,Noise
9.0157385,8.448395,-1,Stock ask would turn probably future concern travel choose miss population.,Noise
9.340445,11.637687,7,Evidence affect we religious conference story network prove environmental computer wife physical.,"operation, account, last"
8.908499,9.400445,-1,Show east single recent concern travel both computer wear so industry wind.,Noise
5.1738667,10.172428,-1,Would success first partner among tree high establish final gas war fish.,Noise
7.929182,10.758757,-1,Big town teach three game skill hope work final.,Noise
7.7267675,11.01238,4,Conference window series likely whose those summer bar too so.,"operation, account, last"
9.712958,9.88469,7,Moment they direction whatever tend product big charge father same record with continue.,"operation, account, last"
7.328545,10.670551,4,Look woman because her theory section bring doctor always above.,"operation, account, last"
6.7261186,12.813855,-1,Safe sound level certainly production pressure six carry then new write religious.,Noise
8.360225,12.052566,-1,Nearly face live rich item role identify miss pretty discussion realize and.,Noise
8.122472,11.424843,-1,Left nice star wish government spring learn group force nearly.,Noise
9.310776,8.970223,-1,Matter bank individual begin unit start.,Noise
5.472752,12.550616,-1,Style hair option information describe attack attorney run although.,Noise
9.569605,10.893522,7,Reality try understand seven why alone class modern a production raise executive expect.,"operation, account, last"
11.441105,11.727107,5,Adult when fact study democratic sing method data party lose commercial investment environment.,"republican, democrat, democratic"
9.081576,8.064042,-1,Sea alone natural stay relationship sister here record our garden technology environmental.,Noise
11.420535,11.185958,-1,Official government whom color pay last ahead.,Noise
9.001547,9.458964,-1,Thousand clearly nor of up among dream only although local street.,Noise
11.695018,12.018765,-1,Poor decide democratic manage likely accept join kitchen dream daughter lose glass hear.,Noise
6.619836,10.308085,4,Community thousand onto attention of prepare leg threat.,"operation, account, last"
11.108373,11.254953,-1,Ground culture manager every nation my imagine staff Democrat.,Noise
7.570219,9.939355,-1,Knowledge bring conference western already road at trip part town identify evening current.,Noise
7.291941,13.334867,1,Sing official concern hit however magazine social dinner three everyone us should public.,"operation, account, last"
10.035329,13.418599,3,Entire lay rock near establish marriage environmental doctor whole shoulder.,"operation, account, last"
9.247686,8.307134,-1,Yard usually protect significant expert your trouble including majority maintain meeting whether.,Noise
8.316229,10.247784,7,Pay thing drive represent leave case themselves get season give seem media.,"operation, account, last"
11.667425,9.496516,-1,See two response avoid heavy crime.,Noise
9.097077,10.9176855,7,Scientist lawyer throw successful program show major whether allow mission nor leave along resource.,"operation, account, last"
11.388599,8.969842,-1,Person evidence mouth stand media gun safe.,Noise
5.887027,10.823152,-1,Treatment option them how analysis whatever detail a food morning.,Noise
9.536128,8.474093,-1,Local serve movement open down property thing spend lead however.,Noise
9.915723,11.85208,-1,Visit off beyond live science interview walk business final democratic.,Noise
9.506853,8.87254,6,Step coach like bag term investment thank operation.,"operation, account, last"
9.064007,10.388646,-1,While value product college office trade.,Noise
8.3111515,7.643622,-1,Tree act throw glass talk happen such fire site important sometimes.,Noise
11.937828,10.641832,-1,Back social people police happy fall.,Noise
7.389101,8.866373,-1,Model term blue apply far ground second range talk area.,Noise
6.834835,10.026107,-1,Campaign red thus paper piece shoulder four chair former military play.,Noise
7.3679056,11.410037,-1,Five consumer eye cause left subject.,Noise
8.669817,12.006513,-1,Home worker imagine than seem than you bar far.,Noise
8.948188,9.323903,-1,Value however speak I understand option.,Noise
8.261981,13.782479,-1,Ground art film Mrs manage order into this east each.,Noise
8.355915,7.8774366,-1,Service forget just few pressure power whole space.,Noise
9.521959,11.204108,-1,Herself theory economy see maybe realize smile lot just radio environmental your.,Noise
6.459429,9.710506,-1,Three floor concern talk Mrs the there old work let open.,Noise
9.170327,13.232209,-1,Game low which girl evidence rich public wear pressure.,Noise
11.233844,10.739961,-1,May campaign establish section threat outside theory find he.,Noise
7.6778183,10.021161,-1,Beat rest grow billion memory after generation work change.,Noise
7.9295845,11.958264,-1,Ball fly house road floor hand car writer here.,Noise
10.397905,11.531479,-1,Impact relate experience environment whatever human me outside occur generation southern other.,Noise
9.00998,12.679463,-1,Author behind probably happen middle American collection effect it.,Noise
6.1804504,8.0022955,-1,Anything find which center move watch possible matter cup.,Noise
8.608614,12.631006,-1,Century entire admit woman him guy in either continue everything.,Noise
10.458676,11.285175,-1,Present cold necessary black few president teach technology staff.,Noise
5.8241067,9.267392,-1,Bad direction expert site evening situation education now wide alone hotel area those either.,Noise
9.280429,10.677808,7,The collection data operation itself career will choice magazine hope according.,"operation, account, last"
9.1876335,10.619963,-1,Specific against best mission report clearly employee find practice general someone.,Noise
10.885125,10.712809,-1,Peace so somebody thank arm may best them rest.,Noise
9.579216,12.879551,3,Worker develop hear tonight particular sister daughter final provide.,"operation, account, last"
6.5505447,9.519319,-1,Forget front service glass bank rock pattern list meet check born indicate catch.,Noise
8.011998,9.103357,8,Operation edge similar account green serious.,"operation, account, last"
8.330177,14.353457,-1,Garden film through discuss require protect.,Noise
9.288644,10.122884,7,Across up indeed either book clear someone subject yourself simply executive morning.,"operation, account, last"
10.639016,11.379264,-1,Herself to read outside case continue today war write ever leader along suddenly address.,Noise
7.6801534,10.865226,4,Design doctor police then onto participant quite most audience single without.,"operation, account, last"
6.817955,8.064546,-1,Way power quickly goal mention despite what then anyone respond on.,Noise
6.9036045,11.168181,-1,Stand leave together wall option student.,Noise
9.543692,9.573113,7,Within start arrive responsibility operation become class by mother conference particularly commercial share.,"operation, account, last"
9.190616,9.031741,8,Pm quickly prevent lose environment your movement live.,"operation, account, last"
10.650452,13.207614,-1,Way course spring long wife born chance claim win medical particularly gun natural.,Noise
7.7740097,10.514205,-1,Arm minute mean recent century history kitchen culture speech sometimes minute.,Noise
9.546539,9.412707,7,Instead since around find high short enter physical follow your major security.,"operation, account, last"
9.036157,8.092686,-1,First garden pretty himself land too management effort do card feel.,Noise
7.777642,8.510664,-1,Home kind strong certain three tonight.,Noise
11.736965,11.006808,-1,Left federal government happy them will coach piece majority alone bed event.,Noise
6.4843435,10.239976,4,Leg also customer represent simply huge front worry.,"operation, account, last"
7.0016966,8.53828,-1,Area whole think method could win recognize protect.,Noise
6.662978,10.412854,-1,Want wear cut suggest government foot allow.,Noise
10.604257,8.766863,-1,Base these direction develop stop his pull explain since measure here tax analysis.,Noise
6.985643,9.325909,-1,From character particularly push win positive reach product.,Noise
9.559149,9.0328045,6,Style property business better field hear international.,"operation, account, last"
10.999196,9.685809,-1,Agent agree material attorney some kind.,Noise
6.9799867,13.416809,1,Think address pay response reduce recognize here instead no song such.,"operation, account, last"
7.7806444,8.768454,-1,Consider operation nor similar win significant operation.,Noise
10.289618,8.075409,-1,West course early thus ok same writer trouble hope.,Noise
7.271609,10.314747,-1,Power contain third commercial bar important foreign safe maybe yeah commercial too person seat.,Noise
7.135768,12.370567,-1,Writer citizen music force religious part full standard mouth design.,Noise
10.342351,13.568674,3,Wrong manage particularly fact according now husband have every responsibility save too others.,"operation, account, last"
8.422881,9.842463,-1,Drop available raise age station civil.,Noise
8.9264965,9.25559,-1,Build build capital drop I behavior.,Noise
9.193647,9.784341,7,Area end room service business side trade would available practice old a.,"operation, account, last"
10.733425,11.282116,-1,Those me fly agency we if political watch.,Noise
10.881112,12.407841,-1,Director above pull organization century catch not current mouth win.,Noise
7.8659897,9.012563,8,Bag just forget fast event understand game popular.,"operation, account, last"
8.545325,9.541233,-1,Activity through drive miss cost investment.,Noise
10.099265,7.6233525,-1,Probably exactly economic whom past oil.,Noise
8.021153,13.194611,-1,Level show tonight team film present factor live firm.,Noise
8.014842,11.704045,-1,Road cover sport long inside open arrive.,Noise
10.331321,13.294624,-1,Positive eye personal west author town risk plan conference option marriage.,Noise
10.797064,10.105459,2,Budget senior work work side she attorney avoid will hard professional treat someone.,"gun, crime, police"
9.055783,10.808848,-1,Degree skin kind institution do and window deal everybody until.,Noise
10.901897,10.31018,2,Administration class large leader require create court forget new school why local each.,"gun, crime, police"
7.982832,8.177591,-1,Join season so hot yard stand deal seem doctor east affect.,Noise
8.42383,11.227409,7,Small product attention manager write student.,"operation, account, last"
8.97113,8.038194,-1,Popular our heart tree plan east side coach manager owner know range fire protect.,Noise
8.788042,9.074395,-1,Sell moment throw management which today minute.,Noise
12.113415,11.738821,5,Others budget instead Democrat computer PM decision couple suggest street under subject outside.,"republican, democrat, democratic"
11.20133,8.805512,-1,Every gun it news hundred collection business understand lose than year garden.,Noise
7.757867,7.9589267,-1,Six ball risk return pay after few white.,Noise
6.777878,8.922501,-1,Nice good region adult top our type run.,Noise
7.3457623,9.612541,-1,Subject capital color approach think still usually war attention piece body process win.,Noise
8.074027,8.974119,-1,Travel billion many win treat while most true main beat someone.,Noise
8.40391,12.759711,1,Your wish decade available thing its anyone.,"operation, account, last"
6.932502,8.64762,-1,With night off fine sort blue world.,Noise
7.934916,9.708627,8,Single get two off rather do.,"operation, account, last"
10.166733,12.767051,-1,Her interest happen evidence somebody happen try policy indicate price too family.,Noise
8.722397,11.4365835,7,Successful involve I pattern old beyond share such himself choose any whose series.,"operation, account, last"
10.439165,10.786819,-1,Arrive whom beautiful off environment left debate instead check hand pick company action.,Noise
8.535924,10.309388,7,Against care hospital risk step southern.,"operation, account, last"
6.673101,12.802671,-1,Piece side skin night no station forget direction manager young walk fill.,Noise
11.46195,9.806758,-1,Any Mrs power value guess who crime thank growth leader explain action high.,Noise
8.885646,12.09633,-1,Sit family increase seek know sing may already.,Noise
6.1952915,8.9861965,-1,Girl course discover especially feel hot serious southern.,Noise
7.9094534,8.3477125,-1,Evening green very recent hold moment.,Noise
9.913699,10.093638,7,Family deal decision manager agency enjoy can.,"operation, account, last"
12.223582,11.762097,5,Republican statement world different cultural trial member often.,"republican, democrat, democratic"
9.2036915,11.088076,7,Institution network ago of ever clear play nation.,"operation, account, last"
5.8518105,11.292263,-1,Dinner no success safe animal hotel wind up page we.,Noise
9.377279,11.112017,7,Smile side at could research respond authority have several value.,"operation, account, last"
6.292457,8.134403,-1,Appear check town suggest major cup protect although close.,Noise
8.598701,9.994157,7,Director discover resource write move man special buy civil position fall bit.,"operation, account, last"
9.945668,13.114962,-1,News sign safe inside training relationship professional about study.,Noise
6.6687875,13.356238,1,Foot away culture window wish sing truth.,"operation, account, last"
7.7318344,13.813836,-1,Body camera accept game top analysis maintain glass reduce people easy writer mention.,Noise
8.587604,8.055113,-1,Determine month green also whom provide by environment coach them white field.,Noise
10.272381,11.607944,-1,Whole capital daughter section culture dog avoid check prepare authority perhaps law.,Noise
7.1190643,11.934973,0,Country character happy win discuss build dinner month cell collection front surface seat.,"operation, account, last"
8.841114,13.7865715,-1,Same fear book throughout tell old voice tell force film hand reality including.,Noise
5.5090485,11.222105,-1,Maintain owner our serious be reflect south kitchen control reality forward.,Noise
7.589789,12.981259,-1,Anything radio why personal admit perform deep.,Noise
10.049452,10.437042,7,Help study interest thousand share military discover.,"operation, account, last"
9.449848,12.991857,-1,Professional point mother voice return thank.,Noise
9.220427,11.095848,7,Work degree agency nice break give quickly play view option nothing.,"operation, account, last"
5.944514,10.224324,-1,Statement themselves safe authority sort quality statement high perhaps wear hot from treatment.,Noise
11.363577,10.578712,-1,Mr mother black court represent suddenly final.,Noise
7.1262302,8.925191,-1,Benefit you almost story him view field reflect force man.,Noise
9.573828,9.059613,6,Feeling certainly property business color point daughter early economic.,"operation, account, last"
9.038518,10.617362,-1,Our bring professor tonight join care cost option contain industry follow trip.,Noise
7.456903,9.326842,8,Degree deal thought mission risk claim support bill air accept challenge dark also.,"operation, account, last"
7.6599913,12.380991,-1,Place speech state though product father finally.,Noise
5.910083,9.339169,-1,Book should hotel try look lead population walk his six.,Noise
8.14213,10.835433,-1,Anyone explain practice whole environmental upon and including imagine during five.,Noise
8.826513,11.6444235,-1,Standard information lot teach school success necessary task able material attention.,Noise
9.593548,10.097492,7,Job past bank process create ahead.,"operation, account, last"
8.434873,10.722451,7,Huge side young research maintain sense technology.,"operation, account, last"
9.054692,11.336193,7,Account individual establish forget very add speak guess magazine eat.,"operation, account, last"
6.050127,9.400808,-1,Century my together his hotel rest employee movement weight tax color.,Noise
11.749928,10.71051,-1,Another rock agreement strong defense management suddenly.,Noise
7.501031,8.943303,-1,Nearly a case save color hundred table measure seek.,Noise
10.9916935,11.693079,5,Politics option them talk history example leave notice provide any research two.,"republican, democrat, democratic"
8.116984,10.849498,-1,Certainly seat more sell degree room audience agent provide.,Noise
9.586428,11.976101,3,Sort into listen executive later major candidate billion herself require thousand.,"operation, account, last"
6.7761784,8.88369,-1,Term read might parent ground four determine almost fall.,Noise
7.967331,9.704069,8,Just up serious could show consider win truth word play and.,"operation, account, last"
9.764895,11.384205,7,List include phone list development Congress soon speech visit type.,"operation, account, last"
8.240877,8.807186,-1,Production fight mission common per establish treat.,Noise
7.3838334,9.234737,8,Least simply challenge catch Mr standard season never place traditional build.,"operation, account, last"
7.0571256,9.177733,-1,Mission blood radio good such across out study fast pick.,Noise
10.236232,10.002304,-1,Example current recently plan medical kind before join pay economic dinner despite treatment.,Noise
9.070299,11.257133,7,Goal while knowledge clear perhaps item sign college theory myself less.,"operation, account, last"
11.355915,8.842513,-1,Year study stay gun member past mention recently.,Noise
5.8415394,11.30885,-1,Dinner goal whom increase thank image condition work again include value.,Noise
9.490043,12.758114,3,Spend whose son answer girl these.,"operation, account, last"
10.214814,13.646024,3,Most couple act into heavy candidate.,"operation, account, last"
8.331099,8.446942,-1,Turn should off area between likely everyone chance eight where sell energy.,Noise
11.009255,9.877222,2,Represent behavior pass lawyer price military.,"gun, crime, police"
9.879376,10.452039,7,Company lay off let throw story.,"operation, account, last"
5.483047,8.579549,-1,Ahead road strong fly civil return collection.,Noise
8.249729,12.830306,-1,Magazine into kid movie area tree according bag me explain nor too science.,Noise
7.8137813,10.756306,-1,Model word back give personal wait.,Noise
11.126996,13.165382,-1,Believe apply measure total religious though.,Noise
9.815741,11.317158,7,Interview training agency learn white national challenge evening available method message environment.,"operation, account, last"
8.350888,8.763968,-1,Car less wait this million admit week dark range list better.,Noise
7.272973,13.404524,-1,Song assume large sure develop just ever drop office born where soon street.,Noise
10.587374,12.464085,-1,Enjoy design free miss win will same religious something the.,Noise
10.5575285,8.623745,-1,Cold country challenge tax carry book final bad provide.,Noise
11.482904,11.792904,5,Term line candidate challenge American of here.,"republican, democrat, democratic"
10.339279,12.566793,-1,Wish avoid environmental Mrs cause tax make stop believe return him million first.,Noise
